series,rating_avg,genres,pages,publication_type,publication_info,author_books,author_followers
False,3.88,"Fiction,Fantasy,Literary Fiction,Magical Realism,Dystopia,Mystery,Post Apocalyptic",304 pages, Hardcover,"Expected publication March 19, 2024",13,1464
True,4.43,"Fantasy,Young Adult,Romance,Fiction,Young Adult Fantasy,Audiobook,Magic",528 pages, Hardcover,"First published October 2, 2018",35,38.6k
True,4.05,"Historical Romance,Romance,Historical,Historical Fiction,Regency,Fiction,Regency Romance",314 pages, Mass Market Paperback,"First published December 26, 2023",23,923
True,4.43,"Science Fiction,Fiction,Space Opera,Mystery,Science Fiction Fantasy,Fantasy,Audiobook",462 pages, Mass Market Paperback,"First published August 1, 1996",176,38.1k
True,4.37,"Mystery,Fiction,Thriller,Crime,Suspense,Mystery Thriller,Audiobook",387 pages, Hardcover,"First published April 24, 2018",209,8671
True,4.1,"Fantasy,Young Adult,Fiction,Adventure,Young Adult Fantasy,High Fantasy,Historical Fiction",316 pages, Hardcover,"First published March 5, 2010",16,5510
True,3.97,"Urban Fantasy,Paranormal,Fantasy,Vampires,Paranormal Romance,Romance,Fiction",244 pages, Paperback,"First published June 15, 2004",109,5848
False,4.15,"Fantasy,Horror,Fiction,Adult,Magic,Audiobook,Witches",243 pages, Hardcover,"First published April 26, 2022",46,12.3k
True,4.07,"Vampires,Young Adult,Fantasy,Paranormal,Romance,Fiction,Supernatural",145 pages, Hardcover,"First published January 1, 2011",145,27.2k
False,3.28,"Fiction,Contemporary,Literary Fiction,Literature,British Literature,Novels,Science Fiction",287 pages, Hardcover,"First published January 1, 2010",124,16.3k
True,3.73,"Science Fiction,Fiction,Space Opera,Short Stories,Novella,Space,Audiobook",72 pages, Kindle Edition,"First published January 1, 2012",72,21.7k
False,4.3,"Health,Nonfiction,Reference,Self Help,Research,Food,Medicine",736 pages, Paperback,"First published January 1, 1997",34,5
True,3.46,"Fantasy,Young Adult,Fairy Tales,Romance,Fiction,Magic,Historical Fiction",410 pages, Hardcover,"First published May 1, 2007",59,436
True,4.07,"Romance,Contemporary Romance,Contemporary,Fiction,Chick Lit,Adult,Amazon",194 pages, ebook,"First published June 17, 2013",115,56.3k
False,3.98,"Mystery,Thriller,Horror,Fiction,Mystery Thriller,Crime,Suspense",425 pages, Hardcover,"First published January 1, 2010",37,4188
False,3.7,"Horror,Fiction,Historical Fiction,Fantasy,Mystery,Werewolves,Paranormal",357 pages, Hardcover,"First published September 6, 2011",13,4049
True,3.73,"Fantasy,Romance,Young Adult,Vampires,Fiction,Paranormal,Audiobook",756 pages, Hardcover,"First published August 4, 2020",93,74.9k
False,4.35,"Poetry,Essays,20th Century,Nonfiction,Post Colonial",42 pages, Hardcover,"First published March 1, 1993",148,449
True,3.99,"New Adult,Romance,Contemporary,Contemporary Romance,Young Adult,College,Dark",224 pages, Kindle Edition,"First published September 3, 2013",368,20.2k
True,4.08,"Mystery,Middle Grade,Fiction,Childrens,Gothic,Crime,Young Adult",288 pages, Paperback,"First published July 6, 2009",82,148
False,4.25,"Buddhism,Self Help,Nonfiction,Spirituality,Psychology,Philosophy,Religion",186 pages, Kindle Edition,"First published January 1, 2010",956,11.2k
False,3.51,"Young Adult,Fiction,Realistic Fiction,Teen,Contemporary",394 pages, Hardcover,"First published October 1, 2007",13,2
False,4.0,"Fiction,Romance,Contemporary,Literary Fiction,Audiobook,Adult,Adult Fiction",436 pages, Hardcover,"First published August 20, 2019",5,4109
False,3.3,"Mystery,Historical Fiction,Fiction,Historical,Thriller,Crime,War",416 pages, Paperback,"First published April 1, 2009",14,143
False,3.67,,144 pages, Paperback,"First published May 1, 1989",27,9
False,3.4,"Fiction,Thriller,Historical Fiction,Crime,Mystery,20th Century,Noir",400 pages, Paperback,"First published May 10, 2016",3,14
False,3.97,"Picture Books,Childrens,Fiction,Family,Juvenile,Humor",32 pages, Paperback,"First published January 1, 1980",213,104
False,3.97,"Fiction,LGBT,Contemporary,Literary Fiction,Romance,Queer,Adult",213 pages, Paperback,"First published July 27, 2017",14,2248
False,4.12,"Science,Nonfiction,Physics,Astronomy,Popular Science,Space,Philosophy",569 pages, Paperback,"First published February 10, 2004",45,3659
False,4.3,"Poetry,Classics,Literature,Fiction,Essays,American,Philosophy",1407 pages, Paperback,"First published January 1, 1982",1590,4803
False,3.46,"Young Adult,Fantasy,Paranormal,Fiction,Supernatural,Teen,Contemporary",263 pages, Hardcover,"First published September 7, 2006",63,15.4k
True,4.03,"Romance,Contemporary,Contemporary Romance,Fiction,Audiobook,Adult,Chick Lit",368 pages, Paperback,"First published May 2, 2023",12,17.1k
True,4.38,"Fantasy,Young Adult,Magic,Romance,High Fantasy,Young Adult Fantasy,Fiction",517 pages, Hardcover,"First published August 30, 2011",32,11.3k
False,3.72,"Historical Fiction,Fiction,Mystery,Historical,World War II,War,Romance",322 pages, Hardcover,"First published March 28, 2023",16,909
False,3.36,"Fiction,Historical Fiction,France,Mystery,Adult Fiction,Contemporary,Audiobook",303 pages, Hardcover,"First published April 2, 2009",41,4864
False,4.33,"Graphic Novels,Nonfiction,Memoir,History,Comics,Biography,Germany",288 pages, Hardcover,"First published August 27, 2018",15,147
False,3.48,"Chick Lit,Romance,Fiction,Audiobook,Contemporary,Womens Fiction,Adult Fiction",384 pages, Hardcover,"First published July 14, 2016",87,8325
True,3.77,"Crime,Mystery,Fiction,Thriller,British Literature,Audiobook,Mystery Thriller",307 pages, Paperback,"First published January 1, 1994",271,4656
True,4.07,"Fiction,Espionage,Thriller,Spy Thriller,Mystery,Historical Fiction,Mystery Thriller",408 pages, Mass Market Paperback,"First published January 1, 1984",186,775
True,3.82,"Star Trek,Science Fiction,Fiction,Star Trek Original Series,Media Tie In,Space,Science Fiction Fantasy",278 pages, Mass Market Paperback,"First published December 1, 1995",3422,1300
False,4.24,"Education,Linguistics,Academic,Language,Research,Theory,Philosophy",224 pages, Paperback,"First published January 1, 1990",58,48
False,3.8,"Picture Books,Monsters,Childrens,Fantasy,Halloween,Fiction,Horror",40 pages, Hardcover,"First published July 14, 2020",217,5228
True,3.81,"Humor,Business,Nonfiction,Comics,Comedy,Graphic Novels,Management",258 pages, Paperback,"First published May 14, 1997",246,1204
False,4.24,,289 pages, paperback,"First published January 7, 2009",3,26
True,4.22,"Romance,Contemporary,Contemporary Romance,Chick Lit,Fiction,Humor,Adult",354 pages, Paperback,"First published May 16, 2017",99,21.4k
True,4.23,"Horror,Young Adult,Fantasy,Thriller,Fiction,Mystery,Paranormal",320 pages, Hardcover,"First published March 29, 2011",52,5812
False,4.39,"History,Science,Nonfiction,Physics,War,Politics,World War II",886 pages, Paperback,"First published September 18, 1986",113,523
False,3.9,"Nonfiction,Literary Criticism,Essays,Books About Books,Writing,Criticism,Literature",149 pages, Paperback,"First published September 1, 2002",11,24
False,4.09,"Mystery,Fiction,Thriller,Crime,Mystery Thriller,Suspense,British Literature",368 pages, Mass Market Paperback,"First published September 24, 1984",476,1137
False,3.85,"Short Stories,Fantasy,Fiction,Fairy Tales,Magical Realism,Literary Fiction,Literature",274 pages, Paperback,"First published January 1, 1994",162,2454
False,3.73,"Short Stories,Fiction,Adult Fiction,Anthologies,Contemporary,Literary Fiction,Short Story Collection",256 pages, Paperback,"First published February 9, 2016",2,18
True,3.13,Mystery,186 pages, Hardcover,"First published August 1, 1986",36,4
False,3.95,"Classics,Short Stories,Fiction,Feminism,Literature,Horror,Psychology",240 pages, Paperback,"Published November 1, 1989",736,1668
False,4.04,"History,Civil War,American History,Nonfiction,War,American Civil War,19th Century",496 pages, Paperback,"First published January 1, 2003",101,42
True,4.07,"Mystery,Fiction,Mystery Thriller,Southern,Cozy Mystery,Crime,Suspense",320 pages, Mass Market Paperback,"First published January 1, 2004",120,739
True,3.83,"Romance,Contemporary Romance,Sports Romance,Contemporary,Sports",368 pages, Mass Market Paperback,"First published May 25, 2021",10,87
True,4.0,,245 pages, Hardcover,"First published January 1, 1986",20,4
True,4.05,"Historical Fiction,Christian Fiction,Romance,Fiction,Christian,Historical,Christian Romance",256 pages, Paperback,"First published January 1, 1985",296,3024
True,4.21,"Middle Grade,Mystery,Fiction,Childrens,Adventure,Audiobook,Books About Books",288 pages, Hardcover,"First published October 1, 2017",139,2346
False,4.18,"Classics,Fiction,Young Adult,Contemporary,Poetry,Novels,Drama",204 pages, Paperback,"First published January 1, 1988",21,462
False,3.71,"Mystery,Fiction,Audiobook,Crime,Suspense,Thriller,Mystery Thriller",363 pages, Paperback,"First published May 1, 2010",29,499
True,4.26,"Romance,Contemporary,Contemporary Romance,Romantic Suspense,Suspense,Fiction,New Adult",287 pages, Kindle Edition,"First published December 12, 2014",71,4252
False,4.02,"Nonfiction,Writing,Essays,Politics,Classics,Philosophy,History",120 pages, Paperback,"First published January 1, 1946",1174,43.8k
True,3.41,"Nonfiction,Biography,Memoir,Autobiography,Humor,Comedy,Biography Memoir",311 pages, Paperback,"First published January 1, 2010",32,1626
True,4.13,"Fantasy,Novella,Young Adult,Audiobook,Fiction,Adult,Urban Fantasy",160 pages, Audible Audio,"First published January 9, 2024",475,16k
True,4.27,"Comics,Graphic Novels,Marvel,Superheroes,Graphic Novels Comics,Young Adult,LGBT",144 pages, Hardcover,"First published November 8, 2006",94,63
False,4.02,"Thriller,Mystery,Fiction,Mystery Thriller,Psychological Thriller,Suspense,Audiobook",330 pages, Kindle Edition,"First published November 1, 2021",11,2277
False,4.44,"Picture Books,Childrens,Fiction,Classics,Nature,Realistic Fiction,Travel",32 pages, Paperback,"First published November 8, 1982",130,202
False,3.48,"Romance,Contemporary Romance,Contemporary,Romantic Suspense,Fiction,Suspense,Harlequin",251 pages, Paperback,"First published January 1, 1985",278,6852
False,4.14,"Biography,Nonfiction,History,Autobiography,Memoir,Race,Politics",624 pages, Paperback,"First published October 1, 1995",9,62
True,3.5,Russia,198 pages, Paperback,"First published August 1, 1987",33,5
True,3.81,"Romance,Contemporary,Romantic Suspense,Contemporary Romance,Fiction,Adult,Harlequin",256 pages, Mass Market Paperback,"First published October 25, 1995",210,3489
True,4.08,"Young Adult,Fantasy,Paranormal,Romance,Mystery,Supernatural,Teen",256 pages, Hardcover,"First published June 3, 2014",58,6816
True,3.7,"Urban Fantasy,Vampires,Paranormal,Fantasy,Romance,Paranormal Romance,Adult",361 pages, Paperback,"First published May 13, 2008",28,1599
False,3.47,"Fiction,Young Adult,Contemporary,Novels,Coming Of Age",256 pages, Hardcover,"First published January 3, 2008",31,34
True,3.98,"Fiction,Historical Fiction,War,China,Classics,Historical,World War II",351 pages, Paperback,"First published September 13, 1984",443,3697
False,4.03,"Thriller,Mystery,Horror,Fiction,Mystery Thriller,Crime,Audiobook",355 pages, Hardcover,"First published June 13, 2019",24,6058
True,4.09,"Fantasy,Science Fiction,Fiction,Dark Fantasy,Epic Fantasy,Adventure,Dystopia",563 pages, Paperback,"First published August 1, 1998",47,896
False,3.79,"History,Nonfiction,American History,Science,Eugenics,Politics,Social Issues",416 pages, Hardcover,"First published January 1, 2006",1,book3
False,4.1,"History,Nonfiction,Ancient History,Italy,Historical,Archaeology,Classics",360 pages, Hardcover,"First published December 15, 2008",64,3398
False,3.84,"Historical Fiction,Fiction,Audiobook,Historical,Coming Of Age,Family,Adult",368 pages, Hardcover,"First published March 28, 2023",19,10.2k
False,3.71,"Dark,Romance,New Adult,Erotica,Contemporary,Adult,Abuse",254 pages, Kindle Edition,"First published April 10, 2016",26,4722
False,3.74,"Romance,Suspense,M F Romance,Contemporary,Fiction,Category Romance",188 pages, Mass Market Paperback,"First published June 1, 1982",50,1989
True,4.05,"Fantasy,Young Adult,Romance,Pirates,Young Adult Fantasy,Adventure,Fiction",354 pages, Hardcover,"First published March 16, 2021",21,12.6k
False,3.76,"Romance,Romantic Suspense,Suspense,Fiction,Thriller,Mystery,Contemporary",261 pages, Mass Market Paperback,"First published January 1, 2000",424,17.6k
False,4.23,"Romance,Historical Romance,Historical,Historical Fiction",384 pages, Paperback,"First published May 1, 2000",138,389
False,4.15,"Fiction,Historical Fiction,Contemporary,Audiobook,Literary Fiction,Historical,Race",343 pages, Hardcover,"First published June 2, 2020",20,11.1k
False,4.12,"Thriller,Fiction,Psychological Thriller,Mystery Thriller,Crime,Audiobook,Mystery",310 pages, Kindle Edition,"First published March 31, 2022",9,191
False,3.31,"Chick Lit,Fiction,Animals,Adult Fiction,Dogs,Romance",288 pages, Paperback,"First published July 7, 2009",5,21
True,4.01,"M M Romance,Paranormal,Shapeshifters,Dragons,M M Paranormal,Gay,Vampires",143 pages, ebook,"First published March 14, 2016",530,1146
False,4.32,"Graphic Novels,Comics,Fiction,Art,Graphic Novels Comics,Short Stories,Comix",260 pages, Hardcover,"First published October 2, 2012",194,1103
False,3.94,"Romance,Historical Romance,Christmas,Historical,Fiction,Holiday,Historical Fiction",480 pages, Mass Market Paperback,"First published November 25, 2003",157,6880
False,3.92,"Fiction,Historical Fiction,China,Canada,Historical,Asia,Literary Fiction",473 pages, Hardcover,"First published May 31, 2016",27,642
False,3.6,"Horror,Fiction,Thriller,Suspense,Audiobook,Mystery,American",264 pages, Paperback,"First published March 1, 1981",52,4003
True,4.15,"Fantasy,Art,Graphic Novels,Vampires,Gothic,Comics,Horror",48 pages, Paperback,"First published January 1, 2004",867,13
True,4.14,"Historical Fiction,Fiction,Ireland,Fantasy,Historical,Irish Literature,Medieval",448 pages, Paperback,"First published January 1, 1980",72,904
False,3.82,"Historical Fiction,Fiction,Romance,Historical,War,Literary Fiction,Adult",384 pages, Hardcover,"First published March 15, 2022",14,888
True,4.02,"Romance,Contemporary Romance,Contemporary,Audiobook,Sports,Adult,Humor",258 pages, ebook,"First published February 27, 2018",56,18.8k
False,4.02,"Law,Nonfiction,History,Politics,American History,Grad School,Journalism",356 pages, Paperback,"First published January 1, 1991",19,19
True,3.93,"Fantasy,Young Adult,LGBT,Queer,Mythology,Fiction,Transgender",400 pages, Hardcover,"First published November 28, 2023",8,691
True,4.45,"Fantasy,Fiction,Romance,Young Adult,Adventure,High Fantasy,Adult",369 pages, Hardcover,"First published January 10, 2023",402,223k
True,4.03,"Dark,Romance,Contemporary,Contemporary Romance,Fiction,Disability,Abuse",Kindle Edition,Kindle Edition,"First published June 30, 2021",25,220
True,4.17,"Mystery,Fiction,Crime,Mystery Thriller,Suspense,Detective,Murder Mystery",256 pages, Mass Market Paperback,"First published January 1, 1998",82,1992
True,4.03,"Young Adult,Fantasy,Science Fiction,Fiction,Dystopia,Romance,Adventure",400 pages, Hardcover,"First published May 18, 2015",1574,345k
False,3.81,"Nonfiction,History,Tv,Biography,Pop Culture,Feminism,Humor",336 pages, Hardcover,"First published May 1, 2013",10,230
False,3.79,"Fiction,Japan,Japanese Literature,Horror,Contemporary,Novels,Asian Literature",393 pages, Trade Paperback,"First published October 28, 1980",254,3034
False,4.04,"Nonfiction,History,Biography,Race,Audiobook,Africa,African American",193 pages, Paperback,"First published April 24, 2018",186,4571
False,3.72,"Fantasy,Science Fiction,Urban Fantasy,Fiction,Vampires,Paranormal,Mystery",378 pages, Mass Market Paperback,"First published September 30, 2003",49,126
True,4.31,"Fantasy,Childrens,Classics,Fiction,Middle Grade,Swedish Literature,Adventure",176 pages, Paperback,"First published January 1, 1981",1008,3443
True,3.92,"Historical Romance,Romance,Historical,Westerns,Historical Fiction,Western Romance,American",279 pages, Hardcover,"First published January 1, 1993",42,427
False,3.89,"Fiction,Audiobook,Contemporary,Humor,Adult Fiction,Adult,Realistic Fiction",287 pages, Hardcover,"First published February 2, 2016",2,669
False,4.32,Paranormal,188 pages, Paperback,"First published March 27, 2013",12,17
False,3.88,"Technology,Nonfiction,Philosophy,Research,Cultural Studies,Academic,Politics",352 pages, Hardcover,"First published November 1, 2005",11,35
False,3.51,"Picture Books,Childrens,Birds",32 pages, Hardcover,"Published September 1, 1998",396,774
True,4.19,"Mystery,Historical Fiction,Historical Mystery,Historical,Fiction,Romance,Historical Romance",383 pages,383 pages,"First published March 6, 2018",26,3141
True,4.08,"Romance,Contemporary,Contemporary Romance,New Adult,Erotica,Adult,Abuse",291 pages,291 pages,"First published September 15, 2013",80,16.8k
True,3.7,"Science Fiction,Fiction,Science Fiction Fantasy,Space,Aliens,Novels,Fantasy",512 pages, Paperback,"First published November 1, 1989",1415,10.4k
False,4.3,"Fiction,Historical Fiction,LGBT,New York,Literary Fiction,Audiobook,Contemporary",496 pages, Hardcover,"First published August 2, 2016",6,404
False,4.04,"Romance,Young Adult,Contemporary,Fiction,Contemporary Romance,Young Adult Romance,Asian Literature",352 pages, Hardcover,"First published February 7, 2023",7,3880
True,4.08,"Young Adult,Fiction,Romance,Humor,Chick Lit,Contemporary,Teen",320 pages, Hardcover,"First published May 24, 2005",80,2740
False,4.04,"History,Archaeology,Nonfiction,Anthropology,Science,Native Americans,Prehistory",352 pages, Paperback,"First published January 1, 2002",6,3
False,3.86,"Music,Childrens,Fantasy,Short Stories",136 pages, Hardcover,"First published September 1, 1998",181,129
False,3.95,"Fiction,Audiobook,Plays,Drama,Short Stories,Romance,Womens",40 pages, Audible Audio,"First published July 24, 2019",12,19
False,3.63,"Graphic Novels,Comics,Young Adult,Fiction,Romance,Teen,Sports",174 pages, Paperback,"First published January 1, 2007",1276,2854
False,4.04,"Nonfiction,Science,Environment,Climate Change,Nature,Ecology,Politics",240 pages, Paperback,"First published January 1, 2006",29,2038
True,4.12,"Mystery,Fiction,Crime,Westerns,Mystery Thriller,Audiobook,Detective",290 pages, Mass Market Paperback,"First published January 1, 1981",253,1541
True,3.63,"Philosophy,Nonfiction,Education,Politics,Humanities,Sociology,Academia",158 pages, Hardcover,"First published May 2, 2010",151,1184
False,3.48,"Chick Lit,Romance,Fiction,Contemporary,Contemporary Romance",336 pages, Paperback,"First published January 1, 2012",11,26
False,3.88,"Fiction,Humor,Contemporary,Adult Fiction,Family,Adult,Book Club",339 pages, Hardcover,"First published November 10, 2003",14,3085
True,3.88,"Crime,Mystery,Fiction,Short Stories,Scotland,Thriller,Mystery Thriller",376 pages, Mass Market Paperback,"First published January 1, 2002",361,5950
True,4.1,"Fantasy,Urban Fantasy,Paranormal,Fiction,Magic,Mythology,Vampires",304 pages, Mass Market Paperback,"First published May 3, 2011",68,12.3k
True,4.26,"Paranormal,Horror,Short Stories,Anthologies,Young Adult,Fantasy",128 pages, Paperback,"First published September 1, 1995",86,26.4k
True,4.14,"Romance,Contemporary Romance,Contemporary,Fiction,Paranormal,Chick Lit,Adult",248 pages, Mass Market Paperback,"First published April 1, 1996",1786,52.5k
True,3.48,"Mystery,Fiction,Crime,Thriller,Nordic Noir,Scandinavian Literature,Noir",326 pages, Hardcover,"First published January 1, 2012",12,308
True,4.03,"Fantasy,Romance,Paranormal,Young Adult,Urban Fantasy,Angels,Audiobook",512 pages, Hardcover,"First published June 1, 2021",148,132k
True,3.88,"Dark,Romance,New Adult,High School,Contemporary,Abuse,Erotica",384 pages, Kindle Edition,"First published January 26, 2015",21,7231
True,3.72,"Paranormal,Romance,Paranormal Romance,Fantasy,Angels",167 pages, Kindle Edition,"First published August 7, 2013",10,118
True,4.04,"Horror,Fiction,Science Fiction,Fantasy,Post Apocalyptic,Vampires,Dystopia",784 pages, Hardcover,"First published June 8, 2010",18,10.5k
